,A_NAME,A_RA,A_DEC,B_NAME,B_RA,B_DEC,XOFFSET_
0,PSR J0007+7303 ,1.757083,73.052056,2CXO J000701.5+730308 ,1.756555,73.052259,0.015
1,PSR J0100-7211 ,15.179292,-72.192667,2CXO J010043.0-721133 ,15.179341,-72.192701,0.002
2,PSR J0023+0923 ,5.820326,9.389963,2CXO J002316.8+092323 ,5.820373,9.389989,0.003
3,PSR J0359+5414 ,59.858375,54.248806,2CXO J035925.4+541501 ,59.855928,54.250465,0.131
4,PSR J0357+3205 ,59.46875,32.090278,2CXO J035752.3+320520 ,59.467935,32.089093,0.082
5,PSR J0359+5414 ,59.858375,54.248806,2CXO J035926.0+541455 ,59.858627,54.248739,0.01
6,PSR J0101-6422 ,15.296318,-64.375047,2CXO J010111.0-642230 ,15.296214,-64.375178,0.008
7,PSR J0146+6145 ,26.593417,61.750778,2CXO J014622.4+614503 ,26.593348,61.750834,0.004
8,PSR J0205+6449 ,31.40801,64.828148,2CXO J020537.9+644941 ,31.40807,64.828178,0.002
9,PSR J0205+6449 ,31.40801,64.828148,2CXO J020538.0+644936X,31.408341,64.826701,0.087
10,PSR J0248+6021 ,42.077571,60.359644,2CXO J024818.6+602134 ,42.077716,60.359713,0.006
11,PSR J0358+5413 ,59.723849,54.220496,2CXO J035853.7+541309 ,59.724062,54.219213,0.077
12,PSR J0358+5413 ,59.723849,54.220496,2CXO J035853.7+541313 ,59.723885,54.220487,0.001
13,PSR J0537-6910 ,84.447567,-69.172189,2CXO J053747.4-691019 ,84.447521,-69.172182,0.001
14,PSR J0418+5732 ,64.641113,57.539697,2CXO J041833.8+573222 ,64.640939,57.539719,0.006
15,PSR J0437-4715 ,69.316234,-47.252531,2CXO J043715.9-471509X,69.316352,-47.252618,0.007
16,PSR J0437-4715 ,69.316234,-47.252531,2CXO J043715.8-471508 ,69.315921,-47.252399,0.015
17,PSR J0525-6607 ,81.50375,-66.07675,2CXO J052600.9-660436 ,81.503755,-66.076702,0.003
18,PSR J0501+4516 ,75.278167,45.276089,2CXO J050106.7+451634 ,75.278167,45.276135,0.003
19,PSR J0538+2817 ,84.604405,28.285878,2CXO J053825.0+281709 ,84.6044,28.286017,0.008
20,PSR J0540-6919 ,85.046675,-69.331714,2CXO J054010.8-691954 ,85.045294,-69.331887,0.031
21,PSR J0540-6919 ,85.046675,-69.331714,2CXO J054010.9-691955X,85.045467,-69.332151,0.037
22,PSR J0734-1559 ,113.690396,-15.9884,2CXO J073445.6-155919 ,113.690409,-15.988759,0.022
23,PSR J0633+1746 ,98.475638,17.770253,2CXO J063354.2+174613 ,98.475897,17.770521,0.022
24,PSR J0633+1746 ,98.475638,17.770253,2CXO J063354.2+174616 ,98.476132,17.77113,0.06
25,PSR J0633+1746 ,98.475638,17.770253,2CXO J063354.3+174614 ,98.476366,17.770773,0.052
26,PSR J0729-1448 ,112.318542,-14.810222,2CXO J072916.3-144837 ,112.318297,-14.810383,0.017
27,PSR J0630-2834 ,97.705852,-28.57855,2CXO J063049.4-283443 ,97.705913,-28.578624,0.005
28,PSR J0633+0632 ,98.434208,6.543028,2CXO J063344.1+063230 ,98.433929,6.54178,0.077
29,PSR J0659+1414 ,104.950817,14.238722,2CXO J065948.1+141421 ,104.950734,14.239219,0.03
30,PSR J0835-4510 ,128.835881,-45.176354,2CXO J083520.6-451034 ,128.835887,-45.176291,0.004
31,PSR J0737-3039A,114.463535,-30.66131,2CXO J073751.2-303940 ,114.463516,-30.661306,0.001
32,PSR J0821-4300 ,125.489022,-43.004743,2CXO J082157.3-430017 ,125.488948,-43.004826,0.006
33,PSR J0835-4510 ,128.835881,-45.176354,2CXO J083521.1-451039 ,128.838199,-45.177588,0.123
34,PSR J1044-5737 ,161.136667,-57.622028,2CXO J104432.8-573719 ,161.136919,-57.621974,0.009
35,PSR J0908-4913 ,137.14775,-49.218056,2CXO J090835.4-491305 ,137.147533,-49.218183,0.011
36,PSR J1023-5746 ,155.762083,-57.768056,2CXO J102302.8-574606 ,155.761818,-57.768545,0.031
37,PSR J1023+0038 ,155.948697,0.644679,2CXO J102347.6+003840 ,155.948682,0.644712,0.002
38,PSR J1028-5819 ,157.116667,-58.318111,2CXO J102827.8-581906 ,157.116106,-58.318499,0.029
39,PSR J1057-5226 ,164.496021,-52.448981,2CXO J105758.9-522656 ,164.495761,-52.4491,0.012
40,PSR J1048-5832 ,162.054375,-58.535056,2CXO J104812.6-583203 ,162.052616,-58.534278,0.072
41,PSR J1050-5953 ,162.529667,-59.889278,2CXO J105007.1-595321 ,162.529818,-59.889314,0.005
42,PSR J1050-5953 ,162.529667,-59.889278,2CXO J105007.5-595321 ,162.531367,-59.889177,0.052
43,PSR J1119-6127 ,169.809583,-61.46375,2CXO J111914.3-612752 ,169.809945,-61.464615,0.053
44,PSR J1101-6101 ,165.437333,-61.027667,2CXO J110144.8-610138 ,165.437062,-61.027389,0.018
45,PSR J1119-6127 ,169.809583,-61.46375,2CXO J111914.2-612749 ,169.809484,-61.463667,0.006
46,PSR J1111-6039 ,167.9525,-60.657222,2CXO J111148.5-603925 ,167.952375,-60.657132,0.007
47,PSR J1124-3653 ,171.00465,-36.888639,2CXO J112401.1-365319 ,171.00471,-36.888648,0.003
48,PSR J1124-5916 ,171.1625,-59.271944,2CXO J112439.1-591619 ,171.163186,-59.272072,0.022
49,PSR J1413-6205 ,213.374583,-62.093889,2CXO J141329.9-620534 ,213.374641,-62.092821,0.064
50,PSR J1210-5226 ,182.503792,-52.441222,2CXO J121000.8-522628 ,182.503605,-52.44122,0.007
51,PSR J1311-3430 ,197.940517,-34.508431,2CXO J131145.7-343030 ,197.94049,-34.508381,0.003
52,PSR J1400-6325 ,210.190375,-63.4285,2CXO J140046.0-632549 ,210.191827,-63.430333,0.117
53,PSR J1400-6325 ,210.190375,-63.4285,2CXO J140045.7-632542 ,210.190423,-63.428606,0.007
54,PSR J1400-6325 ,210.190375,-63.4285,2CXO J140045.7-632542X,210.190572,-63.428344,0.011
55,PSR J1400-6325 ,210.190375,-63.4285,2CXO J140045.9-632545 ,210.191404,-63.429439,0.063
56,PSR J1413-6205 ,213.374583,-62.093889,2CXO J141330.2-620535 ,213.375909,-62.093325,0.05
57,PSR J1135-6055 ,173.784896,-60.9268,2CXO J113508.3-605536 ,173.784932,-60.926834,0.002
58,PSR J1227-4853 ,186.994683,-48.895206,2CXO J122758.7-485343 ,186.994816,-48.89537,0.011
59,PSR J1231-1411 ,187.797138,-14.195453,2CXO J123111.3-141143 ,187.797096,-14.195533,0.005
60,PSR J1357-6429 ,209.260125,-64.491722,2CXO J135702.5-642929 ,209.260551,-64.49165,0.012
61,PSR J1412+7922 ,213.232779,79.367749,2CXO J141255.8+792203 ,213.232548,79.367702,0.004
62,PSR J1420-6048 ,215.034321,-60.804564,2CXO J142008.1-604817 ,215.03411,-60.804813,0.016
63,PSR J1417-4402 ,214.3775,-44.049278,2CXO J141730.5-440257 ,214.377275,-44.049235,0.01
64,PSR J1420-6048 ,215.034321,-60.804564,2CXO J142008.4-604815 ,215.035001,-60.804254,0.027
65,PSR J1429-5911 ,217.494167,-59.1935,2CXO J142958.5-591136 ,217.493755,-59.193342,0.016
66,PSR J1509-5850 ,227.36315,-58.848892,2CXO J150927.1-585056 ,227.363176,-58.848962,0.004
67,PSR J1459-6053 ,224.874958,-60.889083,2CXO J145930.2-605320 ,224.876053,-60.888965,0.033
68,PSR J1509-5850 ,227.36315,-58.848892,2CXO J150927.4-585059 ,227.364228,-58.849899,0.069
69,PSR J1509-5850 ,227.36315,-58.848892,2CXO J150927.4-585101 ,227.36435,-58.85039,0.097
70,PSR J1513-5908 ,228.482546,-59.136,2CXO J151355.6-590802 ,228.481723,-59.134095,0.117
71,PSR J1509-5850 ,227.36315,-58.848892,2CXO J150926.4-585059 ,227.360404,-58.849909,0.105
72,PSR J1509-5850 ,227.36315,-58.848892,2CXO J150926.6-585057 ,227.361131,-58.849357,0.069
73,PSR J1513-5908 ,228.482546,-59.136,2CXO J151355.4-590800 ,228.480955,-59.133555,0.155
74,PSR J1513-5908 ,228.482546,-59.136,2CXO J151355.6-590809 ,228.481812,-59.135892,0.024
75,PSR J1513-5908 ,228.482546,-59.136,2CXO J151355.9-590811 ,228.483312,-59.136601,0.043
76,PSR J1513-5908 ,228.482546,-59.136,2CXO J151356.2-590814 ,228.484294,-59.137405,0.1
77,PSR J1513-5908 ,228.482546,-59.136,2CXO J151354.9-590804 ,228.479116,-59.134521,0.138
78,PSR J1513-5908 ,228.482546,-59.136,2CXO J151355.3-590803 ,228.480421,-59.13429,0.122
79,PSR J1513-5908 ,228.482546,-59.136,2CXO J151356.7-590816 ,228.486302,-59.137815,0.159
80,PSR J1531-5610 ,232.866254,-56.182036,2CXO J153127.8-561055 ,232.86624,-56.182037,0.001
81,PSR J1514-4946 ,228.579642,-49.770977,2CXO J151419.0-494615 ,228.579492,-49.771096,0.009
82,PSR J1614-2230 ,243.652114,-22.508686,2CXO J161436.5-223031 ,243.652113,-22.508628,0.003
83,PSR J1550-5418 ,237.725516,-54.306698,2CXO J155054.1-541823 ,237.725463,-54.306649,0.004
84,PSR J1550-5418 ,237.725516,-54.306698,2CXO J155053.7-541822X,237.72384,-54.30637,0.062
85,PSR J1635-4735 ,248.966017,-47.589808,2CXO J163551.8-473523 ,248.965919,-47.589821,0.004
86,PSR J1617-5055 ,244.372083,-50.920333,2CXO J161729.3-505512 ,244.372309,-50.920227,0.011
87,PSR J1622-4950 ,245.686667,-49.848444,2CXO J162244.8-495052 ,245.687059,-49.847976,0.032
88,PSR J1628-3205 ,247.029167,-32.096917,2CXO J162806.9-320548 ,247.029127,-32.096931,0.002
89,PSR J1640-4631 ,250.181333,-46.5265,2CXO J164043.5-463135 ,250.181342,-46.526447,0.003
90,PSR J1647-4552 ,251.7925,-45.871333,2CXO J164710.2-455217 ,251.792604,-45.871404,0.006
91,PSR J1653-0158 ,253.408558,-1.976915,2CXO J165338.0-015836 ,253.408534,-1.97686,0.004
92,PSR J1658-5324 ,254.663932,-53.401945,2CXO J165839.3-532406 ,254.663967,-53.401932,0.002
93,PSR J1702-4128 ,255.718833,-41.480056,2CXO J170252.4-412848 ,255.7187,-41.48007,0.006
94,PSR J1714-3830 ,258.5825,-38.506389,2CXO J171419.8-383022 ,258.582695,-38.506216,0.014
95,PSR J1709-4429 ,257.428033,-44.485622,2CXO J170942.4-442904X,257.426935,-44.48454,0.08
96,PSR J1714-3810 ,258.523917,-38.17525,2CXO J171405.7-381030 ,258.523908,-38.175265,0.001
97,PSR J1714-3830 ,258.5825,-38.506389,2CXO J171419.3-383023X,258.580739,-38.506445,0.083
98,PSR J1708-4008 ,257.195292,-40.1479,2CXO J170846.8-400852 ,257.195359,-40.147996,0.007
99,PSR J1709-4429 ,257.428033,-44.485622,2CXO J170942.7-442908 ,257.42801,-44.485678,0.004
100,PSR J1714-3830 ,258.5825,-38.506389,2CXO J171419.9-383025 ,258.583177,-38.507197,0.058
101,PSR J1718-3825 ,259.556521,-38.421683,2CXO J171813.6-382517 ,259.556682,-38.421655,0.008
102,PSR J1718-3825 ,259.556521,-38.421683,2CXO J171813.9-382518X,259.558294,-38.421746,0.083
103,PSR J1732-3131 ,263.13975,-31.523056,2CXO J173233.5-313123 ,263.139795,-31.523318,0.016
104,PSR J1730-3350 ,262.635663,-33.844278,2CXO J173032.3-335036 ,262.634793,-33.843575,0.06
105,PSR J1745-2900 ,266.417359,-29.008304,2CXO J174539.8-290022 ,266.415977,-29.006253,0.143
106,PSR J1740+1000 ,265.108125,10.00175,2CXO J174025.9+100006 ,265.108131,10.001684,0.004
107,PSR J1745-2900 ,266.417359,-29.008304,2CXO J174540.0-290028 ,266.416843,-29.007799,0.041
108,PSR J1744-1134 ,266.122524,-11.581856,2CXO J174429.4-113454 ,266.122503,-11.581923,0.004
109,PSR J1745-2900 ,266.417359,-29.008304,2CXO J174539.7-290029 ,266.415761,-29.008247,0.084
110,PSR J1745-2900 ,266.417359,-29.008304,2CXO J174540.1-290029 ,266.417364,-29.008273,0.002
111,PSR J1745-2900 ,266.417359,-29.008304,2CXO J174540.4-290036 ,266.418614,-29.010061,0.124
112,PSR J1745-2900 ,266.417359,-29.008304,2CXO J174540.3-290039 ,266.417963,-29.010921,0.16
113,PSR J1745-2900 ,266.417359,-29.008304,2CXO J174540.7-290035 ,266.419968,-29.009868,0.166
114,PSR J1824-2452A,276.133366,-24.869676,2CXO J182432.2-245209 ,276.134433,-24.869359,0.061
115,PSR J1803-2137 ,270.96421,-21.618709,2CXO J180351.4-213707 ,270.964349,-21.618674,0.008
116,PSR J1809-1943 ,272.462862,-19.731092,2CXO J180951.0-194351 ,272.462855,-19.731093,0.0
117,PSR J1810+1744 ,272.655333,17.743717,2CXO J181037.3+174437 ,272.655465,17.743715,0.008
118,PSR J1816+4510 ,274.149726,45.176073,2CXO J181635.9+451033 ,274.149613,45.176106,0.005
119,PSR J1824-2452A,276.133366,-24.869676,2CXO J182431.9-245211 ,276.133318,-24.869726,0.004
120,PSR J1824-2452I,276.135542,-24.869056,2CXO J182431.9-245211 ,276.133318,-24.869726,0.128
121,PSR J1824-2452A,276.133366,-24.869676,2CXO J182432.1-245217 ,276.133963,-24.871483,0.113
122,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.6-245218 ,276.13619,-24.871717,0.164
123,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.7-245205 ,276.136616,-24.868131,0.081
124,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.8-245208 ,276.136718,-24.869038,0.064
125,PSR J1824-2452I,276.135542,-24.869056,2CXO J182433.0-245201 ,276.137581,-24.867192,0.158
126,PSR J1824-2452I,276.135542,-24.869056,2CXO J182433.0-245204 ,276.13786,-24.868015,0.141
127,PSR J1808-2024 ,272.163904,-20.411069,2CXO J180839.3-202439 ,272.163821,-20.411009,0.006
128,PSR J1809-2332 ,272.459375,-23.539633,2CXO J180950.2-233222 ,272.459428,-23.539682,0.004
129,PSR J1811-1925 ,272.871667,-19.424444,2CXO J181129.2-192527 ,272.871889,-19.424222,0.018
130,PSR J1813-1246 ,273.349042,-12.766444,2CXO J181323.7-124600 ,273.349044,-12.76675,0.018
131,PSR J1813-1749 ,273.3963,-17.832658,2CXO J181335.1-174957 ,273.396561,-17.832534,0.017
132,PSR J1822-1604 ,275.575,-16.074111,2CXO J182218.0-160425 ,275.575277,-16.073778,0.026
133,PSR J1824-2452A,276.133366,-24.869676,2CXO J182431.5-245217 ,276.131649,-24.871553,0.146
134,PSR J1824-2452A,276.133366,-24.869676,2CXO J182432.3-245208 ,276.13467,-24.869062,0.08
135,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.3-245208 ,276.13467,-24.869062,0.047
136,PSR J1824-2452A,276.133366,-24.869676,2CXO J182432.4-245208 ,276.135398,-24.868928,0.119
137,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.4-245208 ,276.135398,-24.868928,0.011
138,PSR J1824-2452A,276.133366,-24.869676,2CXO J182432.4-245211 ,276.135353,-24.869874,0.109
139,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.4-245211 ,276.135353,-24.869874,0.05
140,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.8-245215 ,276.13673,-24.870897,0.128
141,PSR J1824-2452I,276.135542,-24.869056,2CXO J182433.0-245210 ,276.137727,-24.869618,0.124
142,PSR J1824-2452I,276.135542,-24.869056,2CXO J182432.2-245209 ,276.134433,-24.869359,0.063
143,PSR J1826-1256 ,276.535542,-12.9425,2CXO J182608.5-125634 ,276.535592,-12.942939,0.026
144,PSR J1826-1256 ,276.535542,-12.9425,2CXO J182608.6-125631 ,276.536021,-12.942145,0.035
145,PSR J1826-1334 ,276.554896,-13.579667,2CXO J182613.1-133446 ,276.554876,-13.579608,0.004
146,PSR J1826-1334 ,276.554896,-13.579667,2CXO J182612.6-133447 ,276.552526,-13.57976,0.138
147,PSR J1833-1034 ,278.389875,-10.56875,2CXO J183333.4-103359 ,278.389347,-10.566537,0.136
148,PSR J1833-1034 ,278.389875,-10.56875,2CXO J183333.5-103407 ,278.38986,-10.568861,0.007
149,PSR J1833-1034 ,278.389875,-10.56875,2CXO J183333.6-103405X,278.390001,-10.568268,0.03
150,PSR J1834-0845 ,278.717158,-8.765561,2CXO J183452.1-084556 ,278.717198,-8.76558,0.003
151,PSR J1833-0831 ,278.434875,-8.518806,2CXO J183344.3-083107 ,278.434946,-8.518808,0.004
152,PSR J1846-0258 ,281.603917,-2.975028,2CXO J184624.9-025830 ,281.603915,-2.975011,0.001
153,PSR J1838-0655 ,279.513042,-6.925944,2CXO J183803.0-065537X,279.512697,-6.927192,0.078
154,PSR J1846+0919 ,281.608333,9.329444,2CXO J184625.8+091949 ,281.607687,9.330484,0.073
155,PSR J1838-0655 ,279.513042,-6.925944,2CXO J183803.1-065533 ,279.513281,-6.925997,0.015
156,PSR J1841-0456 ,280.330596,-4.936433,2CXO J184119.3-045610 ,280.330517,-4.936374,0.006
157,PSR J1846-0258 ,281.603917,-2.975028,2CXO J184624.8-025833 ,281.603461,-2.975917,0.06
158,PSR J1846-0258 ,281.603917,-2.975028,2CXO J184624.9-025828X,281.604089,-2.974539,0.031
159,PSR J1846-0258 ,281.603917,-2.975028,2CXO J184625.1-025824 ,281.604884,-2.973369,0.115
160,PSR J1907+0602 ,286.978083,6.038028,2CXO J190754.7+060214 ,286.97817,6.037426,0.036
161,PSR J1849-0001 ,282.2568,-0.021514,2CXO J184901.6-000117 ,282.256736,-0.021551,0.004
162,PSR J1852+0040 ,283.160708,0.672167,2CXO J185238.5+004019 ,283.160731,0.67213,0.003
163,PSR J1856+0113 ,284.044375,1.222583,2CXO J185610.6+011322 ,284.044504,1.223021,0.027
164,PSR J1907+0919 ,286.809708,9.32225,2CXO J190714.3+091919 ,286.809682,9.322134,0.007
165,PSR J1958+2846 ,299.666958,28.765,2CXO J195840.0+284554 ,299.66685,28.765136,0.01
166,PSR J1930+1852 ,292.625542,18.870583,2CXO J193029.9+185213X,292.624855,18.870471,0.04
167,PSR J1930+1852 ,292.625542,18.870583,2CXO J193030.1+185214 ,292.625562,18.870595,0.001
168,PSR J1932+1059 ,293.058571,10.992606,2CXO J193213.9+105925 ,293.058314,10.990509,0.127
169,PSR J1932+1059 ,293.058571,10.992606,2CXO J193213.9+105932 ,293.058323,10.992423,0.018
170,PSR J1939+2134 ,294.910672,21.58309,2CXO J193938.5+213459 ,294.910672,21.583164,0.004
171,PSR J1952+3252 ,298.242525,32.877919,2CXO J195258.2+325240 ,298.242521,32.877973,0.003
172,PSR J1932+1059 ,293.058571,10.992606,2CXO J193214.1+105930 ,293.058906,10.991792,0.053
173,PSR J1952+3252 ,298.242525,32.877919,2CXO J195258.9+325243X,298.245616,32.87872,0.163
174,PSR J2017+0603 ,304.344605,6.051546,2CXO J201722.6+060305 ,304.344531,6.051485,0.006
175,PSR J1959+2048 ,299.903208,20.804201,2CXO J195936.7+204814 ,299.903118,20.804127,0.007
176,PSR J2021+3651 ,305.27275,36.851333,2CXO J202105.4+365104 ,305.272795,36.851285,0.004
177,PSR J2017+3625 ,304.482667,36.418861,2CXO J201755.8+362507 ,304.482584,36.418816,0.005
178,PSR J2021+3651 ,305.27275,36.851333,2CXO J202105.4+365104X,305.272555,36.851122,0.016
179,PSR J2021+4026 ,305.374958,40.445861,2CXO J202130.7+402646 ,305.378049,40.446145,0.142
180,PSR J2028+3332 ,307.08275,33.534544,2CXO J202819.8+333204 ,307.082833,33.534451,0.007
181,PSR J2022+3842 ,305.590371,38.704117,2CXO J202221.6+384214 ,305.590348,38.704153,0.002
182,PSR J2051-0827 ,312.781332,-8.460486,2CXO J205107.5-082737 ,312.781306,-8.460488,0.002
183,PSR J2047+1053 ,311.792692,10.8855,2CXO J204710.2+105307 ,311.792704,10.885505,0.001
184,PSR J2032+4127 ,308.054663,41.456753,2CXO J203213.1+412724 ,308.054745,41.456741,0.004
185,PSR J2043+1711 ,310.837007,17.191363,2CXO J204320.8+171129 ,310.836924,17.191451,0.007
186,PSR J2229+6114 ,337.272,61.235917,2CXO J222904.2+611409X,337.267885,61.236016,0.119
187,PSR J2124-3358 ,321.182706,-33.979125,2CXO J212443.4-335841 ,321.180837,-33.978071,0.112
188,PSR J2214+3000 ,333.661886,30.010609,2CXO J221438.8+300038 ,333.661892,30.010592,0.001
189,PSR J2229+6114 ,337.272,61.235917,2CXO J222905.2+611409 ,337.271901,61.235858,0.005
190,PSR J2229+6114 ,337.272,61.235917,2CXO J222905.9+611407 ,337.274908,61.235506,0.088
191,PSR J2124-3358 ,321.182706,-33.979125,2CXO J212443.8-335844 ,321.182708,-33.979094,0.002
192,PSR J2139+4716 ,324.983125,47.270278,2CXO J213955.9+471613 ,324.98332,47.270397,0.011
193,PSR J2215+5135 ,333.886202,51.593428,2CXO J221532.7+513536 ,333.886279,51.593496,0.005
194,PSR J2241-5236 ,340.425077,-52.610063,2CXO J224142.0-523636 ,340.425038,-52.61006,0.001
195,PSR J2238+5903 ,339.617792,59.061333,2CXO J223827.9+590343 ,339.616483,59.061979,0.056
196,PSR J2256-1024 ,344.234971,-10.409551,2CXO J225656.3-102434 ,344.234879,-10.409532,0.006
197,PSR J2301+5852 ,345.284542,58.879014,2CXO J230108.2+585244 ,345.284506,58.878949,0.004
198,PSR J2339-0533 ,354.911417,-5.551478,2CXO J233938.7-053305 ,354.911401,-5.551438,0.003
