A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PSR J0007+7303,73.052259,2CXO J000701.5+730308 ,1.756555,73.0523,1.7565,0.003
PSR J0248+6021,60.359713,2CXO J024818.6+602134 ,42.077716,60.3597,42.0776,0.004
PSR J0023+0923,9.389989,2CXO J002316.8+092323 ,5.820373,9.39,5.8203,0.004
PSR J0101-6422,-64.375178,2CXO J010111.0-642230 ,15.296214,-64.375,15.2963,0.011
PSR J0205+6449,64.828178,2CXO J020537.9+644941 ,31.40807,64.8286,31.408,0.025
PSR J0205+6449,64.826701,2CXO J020538.0+644936X,31.408341,64.8286,31.408,0.114
PSR J0437-4715,-47.252618,2CXO J043715.9-471509X,69.316352,-47.2525,69.3162,0.009
PSR J0357+3205,32.089093,2CXO J035752.3+320520 ,59.467935,32.09,59.4674,0.061
PSR J0437-4715,-47.252399,2CXO J043715.8-471508 ,69.315921,-47.2525,69.3162,0.013
PSR J0633+0632,6.54178,2CXO J063344.1+063230 ,98.433929,6.5416,98.4338,0.013
PSR J0659+1414,14.239219,2CXO J065948.1+141421 ,104.950734,14.2393,104.9507,0.005
PSR J0633+1746,17.770521,2CXO J063354.2+174613 ,98.475897,17.7708,98.4762,0.024
PSR J0633+1746,17.77113,2CXO J063354.2+174616 ,98.476132,17.7708,98.4762,0.02
PSR J0633+1746,17.770773,2CXO J063354.3+174614 ,98.476366,17.7708,98.4762,0.01
PSR J0729-1448,-14.810383,2CXO J072916.3-144837 ,112.318297,-14.8113,112.3173,0.08
PSR J0734-1559,-15.988759,2CXO J073445.6-155919 ,113.690409,-15.988,113.6902,0.047
PSR J0835-4510,-45.176291,2CXO J083520.6-451034 ,128.835887,-45.1763,128.8358,0.004
PSR J0835-4510,-45.177588,2CXO J083521.1-451039 ,128.838199,-45.1763,128.8358,0.128
PSR J1016-5857,-58.953157,2CXO J101621.2-585711 ,154.08857,-58.9534,154.0882,0.019
PSR J0908-4913,-49.218183,2CXO J090835.4-491305 ,137.147533,-49.2185,137.148,0.026
PSR J1023-5746,-57.768545,2CXO J102302.8-574606 ,155.761818,-57.7698,155.7609,0.081
PSR J1044-5737,-57.621974,2CXO J104432.8-573719 ,161.136919,-57.6221,161.1371,0.01
PSR J1028-5819,-58.318499,2CXO J102827.8-581906 ,157.116106,-58.3184,157.1162,0.007
PSR J1105-6107,-61.130282,2CXO J110526.2-610749 ,166.359353,-61.1309,166.359,0.038
PSR J1048-5832,-58.534278,2CXO J104812.6-583203 ,162.052616,-58.5349,162.0508,0.068
PSR J1057-5226,-52.4491,2CXO J105758.9-522656 ,164.495761,-52.449,164.4952,0.021
PSR J1119-6127,-61.464615,2CXO J111914.3-612752 ,169.809945,-61.4637,169.8096,0.056
PSR J1112-6103,-61.058534,2CXO J111214.8-610330 ,168.061993,-61.0587,168.0618,0.011
PSR J1119-6127,-61.463667,2CXO J111914.2-612749 ,169.809484,-61.4637,169.8096,0.004
PSR J1420-6048,-60.804813,2CXO J142008.1-604817 ,215.03411,-60.8046,215.0343,0.014
PSR J1124-5916,-59.272072,2CXO J112439.1-591619 ,171.163186,-59.2722,171.1629,0.012
PSR J1135-6055,-60.926834,2CXO J113508.3-605536 ,173.784932,-60.9264,173.7841,0.036
PSR J1231-1411,-14.195533,2CXO J123111.3-141143 ,187.797096,-14.1955,187.7971,0.002
PSR J1413-6205,-62.093325,2CXO J141330.2-620535 ,213.375909,-62.0935,213.3759,0.011
PSR J1418-6058,-60.967486,2CXO J141842.6-605802 ,214.677725,-60.9667,214.6783,0.05
PSR J1124-3653,-36.888648,2CXO J112401.1-365319 ,171.00471,-36.8886,171.0047,0.003
PSR J1357-6429,-64.49165,2CXO J135702.5-642929 ,209.260551,-64.4917,209.2601,0.012
PSR J1413-6205,-62.092821,2CXO J141329.9-620534 ,213.374641,-62.0935,213.3759,0.054
PSR J1418-6058,-60.967919,2CXO J141842.9-605804 ,214.678755,-60.9667,214.6783,0.074
PSR J1420-6048,-60.804254,2CXO J142008.4-604815 ,215.035001,-60.8046,215.0343,0.029
PSR J1513-5908,-59.134095,2CXO J151355.6-590802 ,228.481723,-59.1358,228.4818,0.102
PSR J1429-5911,-59.193342,2CXO J142958.5-591136 ,217.493755,-59.1935,217.4939,0.01
PSR J1459-6053,-60.888965,2CXO J145930.2-605320 ,224.876053,-60.8888,224.8757,0.014
PSR J1509-5850,-58.848962,2CXO J150927.1-585056 ,227.363176,-58.8489,227.363,0.007
PSR J1509-5850,-58.849909,2CXO J150926.4-585059 ,227.360404,-58.8489,227.363,0.101
PSR J1509-5850,-58.849357,2CXO J150926.6-585057 ,227.361131,-58.8489,227.363,0.064
PSR J1509-5850,-58.849899,2CXO J150927.4-585059 ,227.364228,-58.8489,227.363,0.071
PSR J1509-5850,-58.85039,2CXO J150927.4-585101 ,227.36435,-58.8489,227.363,0.099
PSR J1513-5908,-59.134521,2CXO J151354.9-590804 ,228.479116,-59.1358,228.4818,0.113
PSR J1513-5908,-59.135892,2CXO J151355.6-590809 ,228.481812,-59.1358,228.4818,0.006
PSR J1513-5908,-59.136601,2CXO J151355.9-590811 ,228.483312,-59.1358,228.4818,0.067
PSR J1513-5908,-59.137405,2CXO J151356.2-590814 ,228.484294,-59.1358,228.4818,0.123
PSR J1513-5908,-59.133555,2CXO J151355.4-590800 ,228.480955,-59.1358,228.4818,0.137
PSR J1513-5908,-59.13429,2CXO J151355.3-590803 ,228.480421,-59.1358,228.4818,0.1
PSR J1514-4946,-49.771096,2CXO J151419.0-494615 ,228.579492,-49.771,228.5796,0.007
PSR J1614-2230,-22.508628,2CXO J161436.5-223031 ,243.652113,-22.5087,243.6521,0.004
PSR J1531-5610,-56.182037,2CXO J153127.8-561055 ,232.86624,-56.182,232.8663,0.003
PSR J1718-3825,-38.421655,2CXO J171813.6-382517 ,259.556682,-38.4217,259.5565,0.009
PSR J1658-5324,-53.401932,2CXO J165839.3-532406 ,254.663967,-53.4019,254.6639,0.003
PSR J1702-4128,-41.48007,2CXO J170252.4-412848 ,255.7187,-41.4801,255.7188,0.005
PSR J1718-3825,-38.421746,2CXO J171813.9-382518X,259.558294,-38.4217,259.5565,0.084
PSR J1730-3350,-33.843575,2CXO J173032.3-335036 ,262.634793,-33.8409,262.6348,0.16
PSR J1732-3131,-31.523318,2CXO J173233.5-313123 ,263.139795,-31.5228,263.1397,0.031
PSR J1833-1034,-10.566537,2CXO J183333.4-103359 ,278.389347,-10.5688,278.3899,0.14
PSR J1741-2054,-20.903519,2CXO J174157.2-205412 ,265.488696,-20.9036,265.4883,0.023
PSR J1747-2958,-29.967074,2CXO J174715.2-295801X,266.813575,-29.9669,266.8162,0.137
PSR J1747-2958,-29.966982,2CXO J174715.8-295801 ,266.815857,-29.9669,266.8162,0.018
PSR J1741-2054,-20.90264,2CXO J174156.5-205409 ,265.485828,-20.9036,265.4883,0.15
PSR J1744-1134,-11.581923,2CXO J174429.4-113454 ,266.122503,-11.5819,266.1225,0.001
PSR J1809-2332,-23.533424,2CXO J180949.9-233200 ,272.458278,-23.5343,272.4592,0.073
PSR J1810+1744,17.743715,2CXO J181037.3+174437 ,272.655465,17.7437,272.6554,0.004
PSR J1813-1246,-12.76675,2CXO J181323.7-124600 ,273.349044,-12.7669,273.3489,0.012
PSR J1826-1256,-12.942939,2CXO J182608.5-125634 ,276.535592,-12.9428,276.5355,0.01
PSR J1826-1256,-12.942145,2CXO J182608.6-125631 ,276.536021,-12.9428,276.5355,0.05
PSR J1833-1034,-10.568861,2CXO J183333.5-103407 ,278.38986,-10.5688,278.3899,0.004
PSR J1833-1034,-10.568268,2CXO J183333.6-103405X,278.390001,-10.5688,278.3899,0.032
PSR J1958+2846,28.765136,2CXO J195840.0+284554 ,299.66685,28.7648,299.6667,0.022
PSR J1836+5925,59.425023,2CXO J183613.7+592530 ,279.057092,59.4249,279.0571,0.007
PSR J1907+0602,6.037426,2CXO J190754.7+060214 ,286.97817,6.038,286.9781,0.035
PSR J1952+3252,32.877973,2CXO J195258.2+325240 ,298.242521,32.8781,298.2422,0.018
PSR J1846+0919,9.330484,2CXO J184625.8+091949 ,281.607687,9.3294,281.6078,0.065
PSR J1939+2134,21.583164,2CXO J193938.5+213459 ,294.910672,21.5831,294.9107,0.004
PSR J2032+4127,41.456741,2CXO J203213.1+412724 ,308.054745,41.4568,308.0546,0.007
PSR J2028+3332,33.534451,2CXO J202819.8+333204 ,307.082833,33.5345,307.0828,0.003
PSR J1959+2048,20.804127,2CXO J195936.7+204814 ,299.903118,20.8041,299.9032,0.005
PSR J2017+0603,6.051485,2CXO J201722.6+060305 ,304.344531,6.0515,304.3446,0.004
PSR J2021+3651,36.851285,2CXO J202105.4+365104 ,305.272795,36.851,305.274,0.06
PSR J2021+3651,36.851122,2CXO J202105.4+365104X,305.272555,36.851,305.274,0.07
PSR J2124-3358,-33.978071,2CXO J212443.4-335841 ,321.180837,-33.9791,321.1827,0.111
PSR J2124-3358,-33.979094,2CXO J212443.8-335844 ,321.182708,-33.9791,321.1827,0.001
PSR J2043+1711,17.191451,2CXO J204320.8+171129 ,310.836924,17.1914,310.837,0.005
PSR J2047+1053,10.885505,2CXO J204710.2+105307 ,311.792704,10.8855,311.7928,0.006
PSR J2051-0827,-8.460488,2CXO J205107.5-082737 ,312.781306,-8.4605,312.7813,0.001
PSR J2238+5903,59.061979,2CXO J223827.9+590343 ,339.616483,59.0624,339.6173,0.036
PSR J2139+4716,47.270397,2CXO J213955.9+471613 ,324.98332,47.2703,324.983,0.014
PSR J2214+3000,30.010592,2CXO J221438.8+300038 ,333.661892,30.0106,333.6619,0.001
PSR J2229+6114,61.235858,2CXO J222905.2+611409 ,337.271901,61.2345,337.2739,0.1
PSR J2229+6114,61.235506,2CXO J222905.9+611407 ,337.274908,61.2345,337.2739,0.067
PSR J2215+5135,51.593496,2CXO J221532.7+513536 ,333.886279,51.5934,333.8862,0.006
PSR J2241-5236,-52.61006,2CXO J224142.0-523636 ,340.425038,-52.6101,340.4251,0.003
PSR J0007+7303 ,73.052259,2CXO J000701.5+730308 ,1.756555,73.052056,1.757083,0.015
PSR J0100-7211 ,-72.192701,2CXO J010043.0-721133 ,15.179341,-72.192667,15.179292,0.002
PSR J0023+0923 ,9.389989,2CXO J002316.8+092323 ,5.820373,9.389963,5.820326,0.003
PSR J0359+5414 ,54.250465,2CXO J035925.4+541501 ,59.855928,54.248806,59.858375,0.131
PSR J0357+3205 ,32.089093,2CXO J035752.3+320520 ,59.467935,32.090278,59.46875,0.082
PSR J0359+5414 ,54.248739,2CXO J035926.0+541455 ,59.858627,54.248806,59.858375,0.01
PSR J0101-6422 ,-64.375178,2CXO J010111.0-642230 ,15.296214,-64.375047,15.296318,0.008
PSR J0146+6145 ,61.750834,2CXO J014622.4+614503 ,26.593348,61.750778,26.593417,0.004
PSR J0205+6449 ,64.828178,2CXO J020537.9+644941 ,31.40807,64.828148,31.40801,0.002
PSR J0205+6449 ,64.826701,2CXO J020538.0+644936X,31.408341,64.828148,31.40801,0.087
PSR J0248+6021 ,60.359713,2CXO J024818.6+602134 ,42.077716,60.359644,42.077571,0.006
PSR J0358+5413 ,54.219213,2CXO J035853.7+541309 ,59.724062,54.220496,59.723849,0.077
PSR J0358+5413 ,54.220487,2CXO J035853.7+541313 ,59.723885,54.220496,59.723849,0.001
PSR J0537-6910 ,-69.172182,2CXO J053747.4-691019 ,84.447521,-69.172189,84.447567,0.001
PSR J0418+5732 ,57.539719,2CXO J041833.8+573222 ,64.640939,57.539697,64.641113,0.006
PSR J0437-4715 ,-47.252618,2CXO J043715.9-471509X,69.316352,-47.252531,69.316234,0.007
PSR J0437-4715 ,-47.252399,2CXO J043715.8-471508 ,69.315921,-47.252531,69.316234,0.015
PSR J0525-6607 ,-66.076702,2CXO J052600.9-660436 ,81.503755,-66.07675,81.50375,0.003
PSR J0501+4516 ,45.276135,2CXO J050106.7+451634 ,75.278167,45.276089,75.278167,0.003
PSR J0538+2817 ,28.286017,2CXO J053825.0+281709 ,84.6044,28.285878,84.604405,0.008
PSR J0540-6919 ,-69.331887,2CXO J054010.8-691954 ,85.045294,-69.331714,85.046675,0.031
PSR J0540-6919 ,-69.332151,2CXO J054010.9-691955X,85.045467,-69.331714,85.046675,0.037
PSR J0734-1559 ,-15.988759,2CXO J073445.6-155919 ,113.690409,-15.9884,113.690396,0.022
PSR J0633+1746 ,17.770521,2CXO J063354.2+174613 ,98.475897,17.770253,98.475638,0.022
PSR J0633+1746 ,17.77113,2CXO J063354.2+174616 ,98.476132,17.770253,98.475638,0.06
PSR J0633+1746 ,17.770773,2CXO J063354.3+174614 ,98.476366,17.770253,98.475638,0.052
PSR J0729-1448 ,-14.810383,2CXO J072916.3-144837 ,112.318297,-14.810222,112.318542,0.017
PSR J0630-2834 ,-28.578624,2CXO J063049.4-283443 ,97.705913,-28.57855,97.705852,0.005
PSR J0633+0632 ,6.54178,2CXO J063344.1+063230 ,98.433929,6.543028,98.434208,0.077
PSR J0659+1414 ,14.239219,2CXO J065948.1+141421 ,104.950734,14.238722,104.950817,0.03
PSR J0835-4510 ,-45.176291,2CXO J083520.6-451034 ,128.835887,-45.176354,128.835881,0.004
PSR J0737-3039A,-30.661306,2CXO J073751.2-303940 ,114.463516,-30.66131,114.463535,0.001
PSR J0821-4300 ,-43.004826,2CXO J082157.3-430017 ,125.488948,-43.004743,125.489022,0.006
PSR J0835-4510 ,-45.177588,2CXO J083521.1-451039 ,128.838199,-45.176354,128.835881,0.123
PSR J1044-5737 ,-57.621974,2CXO J104432.8-573719 ,161.136919,-57.622028,161.136667,0.009
PSR J0908-4913 ,-49.218183,2CXO J090835.4-491305 ,137.147533,-49.218056,137.14775,0.011
PSR J1023-5746 ,-57.768545,2CXO J102302.8-574606 ,155.761818,-57.768056,155.762083,0.031
PSR J1023+0038 ,0.644712,2CXO J102347.6+003840 ,155.948682,0.644679,155.948697,0.002
PSR J1028-5819 ,-58.318499,2CXO J102827.8-581906 ,157.116106,-58.318111,157.116667,0.029
PSR J1057-5226 ,-52.4491,2CXO J105758.9-522656 ,164.495761,-52.448981,164.496021,0.012
PSR J1048-5832 ,-58.534278,2CXO J104812.6-583203 ,162.052616,-58.535056,162.054375,0.072
PSR J1050-5953 ,-59.889314,2CXO J105007.1-595321 ,162.529818,-59.889278,162.529667,0.005
PSR J1050-5953 ,-59.889177,2CXO J105007.5-595321 ,162.531367,-59.889278,162.529667,0.052
PSR J1119-6127 ,-61.464615,2CXO J111914.3-612752 ,169.809945,-61.46375,169.809583,0.053
PSR J1101-6101 ,-61.027389,2CXO J110144.8-610138 ,165.437062,-61.027667,165.437333,0.018
PSR J1119-6127 ,-61.463667,2CXO J111914.2-612749 ,169.809484,-61.46375,169.809583,0.006
PSR J1111-6039 ,-60.657132,2CXO J111148.5-603925 ,167.952375,-60.657222,167.9525,0.007
PSR J1124-3653 ,-36.888648,2CXO J112401.1-365319 ,171.00471,-36.888639,171.00465,0.003
PSR J1124-5916 ,-59.272072,2CXO J112439.1-591619 ,171.163186,-59.271944,171.1625,0.022
PSR J1413-6205 ,-62.092821,2CXO J141329.9-620534 ,213.374641,-62.093889,213.374583,0.064
PSR J1210-5226 ,-52.44122,2CXO J121000.8-522628 ,182.503605,-52.441222,182.503792,0.007
PSR J1311-3430 ,-34.508381,2CXO J131145.7-343030 ,197.94049,-34.508431,197.940517,0.003
